relative_time,LinearAccelerometerSensor,AccX,AccY,AccZ
1075,7.822591139060398,15.275007247924805,,-4.565742492675781
1094,,,1.987187385559082,
1095,3.628336193368042,10.553641319274902,,-3.780444383621216
1115,3.234654658661914,9.732429504394531,-0.031124621629714966,-3.8283286094665527
1134,,,-2.540247917175293,
1135,3.9057834194003505,9.232041358947754,,-2.806004285812378
1154,4.966287638562183,,-4.240131378173828,-0.4572925269603729
1155,,8.99740982055664,,
1174,5.020733569830571,,-3.8570590019226074,
1175,,7.781155586242676,,0.7613561153411865
1194,2.4103940478565704,,-1.2066776752471924,-0.40462008118629456
1195,,7.994239330291748,,
1214,1.5784677567619059,8.525752067565918,0.8882488012313843,-1.139639973640442
1233,,,1.436521053314209,
1234,2.5248688692091834,7.762001991271973,,-1.1779472827911377
1254,2.961229616918656,6.98628044128418,0.6584054827690125,-1.2521674633026123
1273,,,-1.1085153818130493,
1274,3.0394148830689267,6.919242858886719,,-0.5913678407669067
1293,,,-1.6280571222305298,
1294,3.0569613449952096,7.0772600173950195,,-0.6751648783683777
1313,1.9133019629619363,,-1.1348515748977661,
1314,,8.075642585754395,,-0.42377370595932007
1333,,,-0.6655880808830261,
1334,1.4341371426303937,8.664615631103516,,0.15322890877723694
1353,,,-0.7709329724311829,
1354,1.7619995434746383,8.480262756347656,,0.40940847992897034
1372,2.6259543182804146,,-1.4772224426269531,0.7972691655158997
1373,,7.936778545379639,,
1392,2.840003091783587,8.367734909057617,-1.4317326545715332,1.5466543436050415
1412,1.9472473817083613,9.706093788146973,-0.6153098344802856,1.278503656387329
1432,2.1135290991226343,10.99656867980957,-0.7996633648872375,1.0295066833496094
1452,,,-1.316810965538025,
1453,2.584974587940913,11.209651947021484,,1.3048399686813354
1472,2.5179349351980136,,-0.7637503147125244,1.158793568611145
1473,,11.583148002624512,,
1492,3.3154925378339515,11.461043357849121,-0.4644751250743866,2.365471363067627
1531,,,-1.1803414821624756,
1532,4.299962048030419,11.688492774963379,,3.3877954483032227
1571,9.161370521863374,,-4.651933670043945,-5.796362400054932
1572,,16.127342224121094,,
1736,1.4584719001696929,8.470685958862305,-0.5410895943641663,-0.8044517636299133
1770,,,-2.205059766769409,
1771,1.5636339269260187,8.75080680847168,,-0.586579442024231
1810,1.9325220702417438,8.11634349822998,0.11013327538967133,-0.7709329724311829
1850,2.633188735838847,7.594407558441162,0.7829039692878723,-0.7086837291717529
1889,,,0.35913026332855225,
1890,1.6582476247111677,8.841787338256836,,0.43335050344467163
1929,,,1.3838485479354858,
1930,2.6604516401708,8.932766914367676,,1.2282254695892334
1969,1.7057979501925495,9.428366661071777,0.35434186458587646,1.1276689767837524
2009,,,0.31603461503982544,
2010,2.4521931621767616,11.3269681930542,,1.5610195398330688
2049,,,-0.08379705995321274,
2050,3.6729697036303772,11.580753326416016,,2.96162748336792
2089,,,1.4197616577148438,
2090,6.338769921670375,12.18648624420166,,-5.925649166107178
2129,5.488964453694866,13.84566879272461,2.762908697128296,-3.0142998695373535
2169,,,0.23702596127986908,
2170,3.679443999249849,9.227252960205078,,-3.864241600036621
2209,3.993740668009808,9.619902610778809,-3.3877954483032227,-0.17238251864910126
2249,1.2002395609310512,,-0.3519476354122162,
2250,,8.89445972442627,,-0.6512228846549988
2288,,,2.1811177730560303,
2289,3.3687879117909616,7.3454108238220215,,-1.5131354331970215
2328,3.816004408859809,,-0.7493851184844971,
2329,,6.038176536560059,,-0.5506663918495178
2368,3.0378974309185045,,-1.987187385559082,
2369,,7.328651428222656,,-0.06224924325942993
2408,1.55244544837926,8.920795440673828,-1.2497732639312744,0.21308395266532898
2447,,,-1.53707754611969,
2448,2.5629411643274604,9.040505409240723,,1.4867992401123047
2488,1.798065123132913,10.139444351196289,-0.7661445140838623,1.1420341730117798
2527,2.6236865072578124,,-0.6655880808830261,
2528,,11.379640579223633,,1.5921441316604614
2567,4.750891953094238,12.354081153869629,-1.5705963373184204,3.514688014984131
2601,5.037301351639245,11.520898818969727,-1.8171991109848022,4.481945514678955
2610,2.494801839171969,,-2.8826189041137695,
2611,,11.252747535705566,,0.7230489253997803
2626,,,-6.110002517700195,
2627,9.16229152884639,14.832079887390137,,-5.815515995025635
2646,7.604694783583681,13.074735641479492,-2.1284453868865967,-6.9910688400268555
2665,,,0.524330198764801,
2666,2.2619651963231977,9.119514465332031,,-1.2713210582733154
2685,,,0.5961562395095825,
2686,3.446743830020612,8.834604263305664,,-3.0142998695373535
2705,,,-0.8331822156906128,
2706,4.962149404445229,10.802638053894043,,-5.2696380615234375
2725,,,-0.5817909836769104,
2726,4.277653206556885,12.143390655517578,,-3.88818359375
2745,,,-0.19632454216480255,
2746,1.8709338285079773,10.72602367401123,,-0.9002198576927185
2765,,,0.06224924325942993,
2766,1.7948748527402996,8.954314231872559,,-0.8906430602073669
2785,2.3757222733708647,,-0.6057330369949341,
2786,,7.491456985473633,,-1.2186486721038818
2805,,,-1.4844050407409668,
2806,2.3546789056511,7.359776020050049,,-0.6584054827690125
2825,,,-1.6352397203445435,
2826,1.8654475704402746,7.972691535949707,,-0.47884035110473633
2845,1.5729360347675345,,-1.0103530883789062,
2846,,8.13789176940918,,-0.8451532125473022
2865,2.125756185286414,,0.08140286058187485,
2866,,7.838616371154785,,-1.0127472877502441
2884,,,0.4141969084739685,
2885,2.427381592680552,7.663839817047119,,-0.8188169598579407
2904,,,0.5410895943641663,
2905,2.478840162644804,7.687781810760498,,-0.6248866319656372
2925,2.2962276039422673,7.953537940979004,0.2322375625371933,-0.031124621629714966
2944,,,0.17477671802043915,
2945,2.1279897414368905,8.47786808013916,,0.3663128614425659
2964,,,0.7445967197418213,
2965,2.6421628006785096,,,0.849941611289978
2966,,8.585607528686523,,
2984,,,1.5298948287963867,
2985,3.2324381018286057,9.006986618041992,,1.3287819623947144
3004,,,1.2425906658172607,
3005,3.166396949391103,9.773131370544434,,1.7118542194366455
3024,,,1.0797849893569946,
3025,2.571693304603388,10.594342231750488,,1.0462661981582642
3044,,,1.115697979927063,
3045,2.6485780211672463,11.15697956085205,,0.9241618514060974
3064,3.3657682397197015,11.803414344787598,1.0342950820922852,1.6496049165725708
3084,,,0.5363011956214905,
3085,4.005966266933799,12.035652160644531,,2.604891538619995
3104,2.8674479270138007,11.12346076965332,-0.31124621629714966,1.9584569931030273
3124,7.653811942408558,12.006921768188477,0.5841852426528931,-7.8314337730407715
3144,8.564482299337424,,2.2002713680267334,
3145,,17.604564666748047,,-3.35667085647583
3163,5.087448434779274,14.573505401611328,1.843535304069519,-0.730231523513794
3183,5.523896237414641,9.583989143371582,1.4772224426269531,-5.91128396987915
3203,3.218451328679389,9.93354320526123,0.19871874153614044,-3.6846764087677
3223,2.547588318706079,9.646238327026367,-1.7357962131500244,-1.599326729774475
3242,,,-4.235342979431152,
3243,4.889789936569801,8.81784439086914,,0.06464344263076782
3262,,,-4.170699596405029,
3263,4.97468260706305,7.936778545379639,,-0.08140286058187485
3282,,,-1.764526605606079,
3283,2.8442322039232284,7.977479934692383,,-1.2952631711959839
3302,,,0.19153612852096558,
3303,1.5476345933056557,8.360552787780762,,-1.1994950771331787
3322,2.2860014045423998,,1.4700398445129395,-1.278503656387329
3323,,8.125920295715332,,
3342,2.6906192331994405,,1.403002142906189,
3343,,7.613561630249023,,-1.3718775510787964
3362,2.6155286399747797,7.184999465942383,0.13168109953403473,-1.1276689767837524
3382,,,-0.7733271718025208,
3383,2.9883910314801927,6.833051681518555,,-1.259350061416626
3402,2.796694105041753,,-1.1252747774124146,-0.7182605266571045
3403,,7.062894821166992,,
3422,2.4011425954219803,,-1.278503656387329,
3423,,7.682993412017822,,-0.043095629662275314
3442,1.7973874895434037,,-1.280897855758667,
3443,,8.53293514251709,,0.07422025501728058
3462,,,-1.6974890232086182,
3463,2.1344233986322645,8.729259490966797,,0.40940847992897034
3482,,,-1.7741034030914307,
3483,2.8368669988566015,9.174580574035645,,1.4245500564575195
3502,2.8915580274711608,,-1.1348515748977661,
3503,,10.259154319763184,,1.7597382068634033
3522,2.7204085804702287,10.788272857666016,-1.2761094570159912,1.4245500564575195
3542,2.4494308550190365,10.11789608001709,-1.290474772453308,1.3766659498214722
3562,2.246519363547409,,-0.3711012601852417,1.3096283674240112
3563,,10.467450141906738,,
3581,,,-0.33518823981285095,
3582,3.51689687822071,11.45146656036377,,2.315192937850952
3601,,,-0.5339069962501526,
3602,4.433476733037269,12.461819648742676,,2.8131868839263916
3621,,,-0.9792284965515137,
3622,5.07432437402096,12.258312225341797,,3.8115692138671875
3641,3.011045783985497,,-1.9153614044189453,
3642,,12.433089256286621,,-1.3551181554794312
3661,,,-5.810727596282959,
3662,7.457884734175767,13.172897338867188,,-4.946420669555664
3681,8.133115031746994,,-3.0813376903533936,
3682,,11.264719009399414,,-8.245630264282227
3701,1.2743725766266012,,-0.3016694188117981,-1.5490485429763794
3702,,9.607931137084961,,
3721,2.111166186478732,,0.21308395266532898,
3722,,9.560047149658203,,-2.118868589401245
3740,,,-0.9193734526634216,
3741,4.712415270461042,11.331756591796875,,-4.924872875213623
3760,,,-0.6631938815116882,
3761,3.9471655997655657,,,-3.708618402481079
3762,,11.865663528442383,,
3780,,,-0.40701428055763245,
3781,1.4919830501759492,10.599130630493164,,-0.9816226959228516
3800,,,-0.7230489253997803,
3801,1.0485580920751887,,,
3802,,8.927978515625,,-0.7374141216278076
3820,2.167570940240559,,-1.3024457693099976,-1.0845733880996704
