relative_time,LinearAccelerometerSensor,AccX,AccY,AccZ
0,8.392242900784135,13.88158130645752,9.222464561462402,-1.0773907899856567
20,6.177991246042814,15.552734375,2.2649147510528564,0.9457096457481384
39,9.774588074260949,,,
40,,18.993202209472656,0.3926490843296051,-0.8140285611152649
60,5.651372165654668,9.600749015808105,3.3494882583618164,-5.992686748504639
80,4.875994263029909,9.107542991638184,5.298368453979492,-4.199429988861084
100,4.639051176926544,,,
101,,7.666234016418457,3.8810009956359863,-3.9025487899780273
120,6.069417565948462,6.18182897567749,-2.051830768585205,
121,,,,2.049436569213867
140,9.022541216309294,6.44279670715332,-5.643133640289307,-1.3718775510787964
160,8.408627992677419,10.228029251098633,-5.458779811859131,-2.8203697204589844
180,5.7391596901440725,14.065935134887695,-1.5298948287963867,-0.8643068075180054
200,2.684132972970854,11.896788597106934,0.6727706789970398,0.8738836050033569
219,1.8705156743367464,,,
220,,8.51138687133789,1.845929503440857,1.1899182796478271
240,3.8818984615640777,6.524199485778809,3.2752678394317627,-0.3974374830722809
259,6.529170677250367,,,
260,,4.022258758544922,3.9432501792907715,-0.9911994934082031
279,7.303896023715298,2.801215887069702,2.8586769104003906,-0.9481038451194763
299,6.708722816044032,,0.6057330369949341,
300,,3.1100680828094482,,-0.727837324142456
319,3.824637806018892,6.260837554931641,-0.8834604024887085,-0.12449848651885986
339,3.149249632335477,8.317456245422363,-1.9800047874450684,1.0989385843276978
359,4.51289977101882,8.068459510803223,-2.9448680877685547,
360,,,,2.0254945755004883
379,5.314068372005908,8.860940933227539,-3.6535518169403076,2.7246015071868896
398,4.708441989061293,,,
399,,10.211270332336426,-2.849100112915039,2.806004285812378
418,2.105475997204596,,-0.4620809257030487,
419,,10.668562889099121,,1.2210428714752197
438,2.6007900064858975,,,
439,,11.104307174682617,2.4420857429504395,-1.290474772453308
458,2.566512989628893,,0.019153613597154617,
459,,12.255918502807617,,-0.6320692300796509
478,7.156237206593368,,,
479,,11.27190113067627,-4.843470096588135,4.709394931793213
498,9.715742130254464,,,
499,,13.03164005279541,-6.145915985107422,6.682217121124268
518,7.590261654973879,13.038822174072266,-6.555324077606201,
519,,,,2.4205379486083984
538,5.262606788693446,9.926360130310059,-4.486733913421631,-2.940079689025879
