relative_time,LinearAccelerometerSensor,AccX,AccY,AccZ
0,4.863141823114316,11.956643104553223,2.38462495803833,-0.9361328482627869
20,4.650285420835936,,1.381454348564148,
21,,13.03403377532959,,-1.0079588890075684
40,4.05608977249687,13.227964401245117,-0.3016694188117981,-0.2585737705230713
60,5.294373047969829,,,
61,,14.875175476074219,-1.1252747774124146,-1.2186486721038818
79,4.37493438671502,,,
80,,13.88158130645752,-0.31364041566848755,-2.0925323963165283
99,2.414054994046786,,0.6368576288223267,
100,,11.453861236572266,,-1.501164436340332
119,1.3770926763282045,,0.4620809257030487,-1.455674648284912
120,,9.263166427612305,,
139,3.2497928259914097,,,
140,,6.682217121124268,-0.17717093229293823,-1.8531121015548706
159,4.49762239163476,,-0.9313444495201111,
160,,5.329493045806885,,-1.1324573755264282
179,4.557290643601076,5.525817394256592,-1.8722656965255737,-0.9361328482627869
198,4.153390230388157,,,
199,,6.162675380706787,-2.185906171798706,-0.950498104095459
219,3.5863241681167586,6.584054470062256,-1.7573440074920654,-0.646434485912323
239,2.4379619258508107,,,
240,,7.560888767242432,-1.1085153818130493,-0.16998831927776337
258,1.0684994007799737,,,
259,,8.767566680908203,-0.15562310814857483,-0.5626373887062073
278,1.062774061872393,,,
279,,8.887276649475098,0.4141969084739685,-0.009576806798577309
298,1.3259498736226512,,,
299,,8.482656478881836,0.011971008032560349,-0.16519992053508759
318,0.6763431440150717,,,
319,,9.983820915222168,0.33997663855552673,-0.8690952062606812
338,1.8541454856891464,,,
339,,10.805032730102539,1.6089035272598267,-0.6368576288223267
358,2.1301627554521687,,,
359,,10.280701637268066,2.013523578643799,0.6607996821403503
378,1.8846089510456026,,1.9704279899597168,
379,,9.603142738342285,,0.5219359993934631
397,2.1148367919356468,,,
398,,8.456320762634277,1.9608511924743652,0.009576806798577309
417,1.860436657338604,,,
418,,8.418013572692871,1.6160861253738403,0.3878606855869293
437,1.6590884376117925,,,
438,,,1.455674648284912,1.3934253454208374
439,,10.122684478759766,,
457,3.129782564697221,,,
458,,11.815385818481445,2.0422539710998535,1.9345149993896484
477,2.838572557380414,,,
478,,11.920730590820312,1.8555063009262085,1.4748282432556152
497,1.8127554351763038,,,
498,,10.467450141906738,1.3263877630233765,1.6543933153152466
517,1.620953363061861,,,
518,,9.526528358459473,1.9919757843017578,1.213860273361206
537,4.110091578444831,10.979808807373047,4.486733913421631,-1.434126853942871
557,5.7668975004768255,14.767436027526855,3.4955344200134277,-1.1994950771331787
577,7.573901952342095,,1.8076223134994507,-2.4444799423217773
578,,16.855180740356445,,
597,5.312046525337811,,3.627215623855591,-2.9305028915405273
598,,13.390769958496094,,
616,4.28502738988395,,,
617,,10.002974510192871,3.6966474056243896,-3.442862033843994
636,5.176491143828393,,,
637,,7.38132381439209,0.9481038451194763,-4.563348293304443
657,4.100897453523607,7.613561630249023,-1.8555063009262085,-1.7070658206939697
677,4.612999890538943,7.206547260284424,-2.5665841102600098,0.6177040338516235
716,4.029385394234887,,-0.7972691655158997,-2.9257144927978516
717,,12.358869552612305,,
755,1.6666093419071262,9.883264541625977,2.4013843536376953,-0.27054479718208313
910,4.495201519447093,,,
911,,5.530605792999268,1.5322890281677246,-1.115697979927063
915,3.2406084374765096,8.62391471862793,-2.557007312774658,0.8930372595787048
954,3.7015248636093165,11.389217376708984,-1.3551181554794312,2.6360161304473877
994,2.8017615567245806,12.148179054260254,1.5179238319396973,-0.9528923034667969
1033,6.411936548177279,,,
1034,,10.398017883300781,-4.316745758056641,4.793191909790039
1073,5.329941604895562,11.78904914855957,-4.960785865783691,-0.4572925269603729
1113,6.071701146266202,13.110648155212402,-5.082890033721924,-1.8938134908676147
1153,3.299016898554514,11.456254959106445,-1.3239935636520386,-2.691082715988159
1193,4.507531327547624,7.709329605102539,1.7932571172714233,-2.7509377002716064
1233,5.290264134005404,14.865598678588867,0.363918662071228,0.2777273952960968
1274,2.6922944351540607,,-0.9911994934082031,-0.6512228846549988
1275,,12.397176742553711,,
1313,4.02992309496933,,-1.7405846118927002,
