relative_time,LinearAccelerometerSensor,AccX,AccY,AccZ
0,15.129642499190796,20.35550308227539,,
19,,,4.072536945343018,-0.5746083855628967
20,4.971920129749806,13.958195686340332,,
39,,,4.4939165115356445,-1.3886369466781616
40,4.224301902385766,5.724536418914795,,
59,8.016581517307287,,1.7501614093780518,-3.098097085952759
60,,1.7046716213226318,,
79,6.348350322630885,,-3.0885202884674072,-2.5761611461639404
80,,7.2783732414245605,,
99,9.07737952108022,10.271124839782715,-6.461950302124023,-3.181894063949585
119,1.4543046982334737,8.640673637390137,0.9600749015808105,-1.6711528301239014
138,,,,-2.013523578643799
139,4.869813948255621,8.130708694458008,6.517016887664795,
158,,,,-1.4748282432556152
159,7.720520063681652,5.726930618286133,8.62391471862793,
178,,,6.361393928527832,-1.2330138683319092
179,7.557613086415898,3.3016040325164795,,
198,,,,-1.2976573705673218
199,5.31326432059224,4.228160381317139,3.047818660736084,
218,,,,-3.064578056335449
219,3.568406144928171,6.143521785736084,1.0558429956436157,
238,,,,-3.0597896575927734
239,3.1380787106739,9.612719535827637,-1.0534487962722778,
257,,,,-0.42616790533065796
258,5.15138986591572,,-3.1292216777801514,
259,,8.83939266204834,,
278,4.71923441642528,,-1.7549498081207275,1.2737152576446533
279,,9.066842079162598,,
299,4.244244436863144,,-0.9457096457481384,0.811634361743927
300,,11.338939666748047,,
317,,,-1.4053963422775269,-0.1388636976480484
318,4.599711798886154,12.346898078918457,,
337,,,,-0.3974374830722809
338,4.475732217055013,12.255918502807617,-1.53707754611969,
357,,,,0.7637503147125244
358,4.809899754738633,11.939884185791016,-1.7621324062347412,
377,3.940263535259402,10.831368446350098,-0.7972691655158997,1.3623007535934448
397,2.8153490682829614,11.595118522644043,1.1420341730117798,0.3447650372982025
417,,,,-3.8498764038085938
418,4.226739847971678,12.988544464111328,2.537853717803955,
437,6.960585117518689,12.306197166442871,4.039018154144287,-7.632715225219727
457,6.294394333406039,8.935160636901855,0.5674257874488831,-8.324639320373535
476,,,-0.28969839215278625,-5.063736438751221
477,3.187980166901241,8.523358345031738,,
496,5.854884672649778,10.931924819946289,3.5913026332855225,-7.292738437652588
516,10.83590088764543,16.8839111328125,6.382941722869873,-7.654263019561768
536,,,6.560112476348877,-4.005499362945557
537,8.994661655307388,15.569493293762207,,
556,3.9284592030336656,11.322179794311523,3.6846764087677,-1.9057846069335938
576,,,,-1.6424223184585571
577,1.705278487520798,9.495404243469238,-0.9696516990661621,
596,4.494897068360005,8.585607528686523,-3.4380736351013184,-0.7254431247711182
616,5.346758792936497,6.876147270202637,-3.670311212539673,-0.7254431247711182
636,5.500937642021245,5.544970989227295,-2.365471363067627,0.009576806798577309
656,5.526427499698501,4.6255974769592285,-1.0295066833496094,-0.3447650372982025
676,6.021103304009872,4.003105163574219,-0.4357447028160095,-0.0694318488240242
696,6.9506721885059655,2.87064790725708,0.40940847992897034,-0.1388636976480484
715,,,,1.0438719987869263
716,6.508199948137841,3.8331170082092285,2.207453966140747,
736,4.759690689166994,7.110779285430908,3.442862033843994,1.6304513216018677
756,3.416544625188338,8.453926086425781,3.464409828186035,0.6871358752250671
775,,,,-0.8523358106613159
776,2.6787994069764505,9.828198432922363,3.9695863723754883,
795,4.366545000395452,11.899182319641113,4.7836151123046875,-3.138798475265503
815,6.267995637971277,,6.390124320983887,-3.0621838569641113
816,,13.132196426391602,,
835,6.102617121365265,13.560758590698242,5.944802761077881,0.12689268589019775
855,6.343658596940038,13.951013565063477,3.7158010005950928,2.9975404739379883
875,,,2.207453966140747,-8.269572257995605
876,8.647717619090672,14.451401710510254,,
894,,,,-11.801020622253418
895,14.630065562374456,,5.985504150390625,
896,,18.768146514892578,,
914,,,,-0.5099649429321289
915,9.280240090651573,18.449718475341797,4.316745758056641,
934,,,,-0.5099649429321289
935,2.1072271644223,8.779537200927734,4.019864559173584,
954,,,1.5897499322891235,-3.6990416049957275
955,8.250162758811186,1.7381904125213623,,
974,,,-2.8107926845550537,-4.424484729766846
975,8.809958666424127,3.5051112174987793,,
994,8.988643262619599,10.031704902648926,-6.40927791595459,-2.9688100814819336
1014,,,,-2.851494312286377
1015,5.201164724049252,11.111490249633789,-2.5546131134033203,
1033,,,,-2.6671407222747803
1034,2.8323410390909407,9.129091262817383,4.359841346740723,
1054,,,7.053318023681641,-1.7597382068634033
1055,5.989845902589447,6.502651691436768,,
1073,,,,-0.8331822156906128
1074,8.735825747418374,3.5625722408294678,8.35336971282959,
1093,,,,-0.8475474119186401
1095,6.866153365767206,3.3303346633911133,5.12119722366333,
1113,,,2.300827741622925,-0.6703764796257019
1114,4.941535941973944,4.599261283874512,,
1133,2.901899794128173,,1.0079588890075684,-1.6687586307525635
1134,,6.722918510437012,,
1153,4.099361621191029,10.105925559997559,-2.011129379272461,-2.408566951751709
1173,,,-2.87064790725708,-0.7493851184844971
1174,4.909206592917866,8.753201484680176,,
1193,3.923177920633761,7.979874134063721,-1.1109095811843872,0.4189853072166443
1213,2.754705910883509,9.272743225097656,0.2537853717803955,0.5291185975074768
1233,2.4496230867026743,,0.8068459630012512,-0.7469909191131592
1234,,11.446678161621094,,
1252,,,,-1.3670891523361206
1253,2.5833347279534626,11.475408554077148,0.2777273952960968,
1272,,,,0.090979665517807
1273,4.443910723004917,12.205639839172363,-1.2473790645599365,
1292,,,,1.4939818382263184
1293,4.857813740727367,12.09550666809082,-1.113303780555725,
1312,,,0.7852981686592102,1.4748282432556152
1313,3.7350596035819255,11.72201156616211,,
1332,,,,-0.727837324142456
1333,3.274791064404404,12.708422660827637,2.0805611610412598,
1352,,,,-6.232107162475586
1353,6.347325111555051,13.807361602783203,2.6001031398773193,
1372,6.308126312984419,11.887211799621582,0.950498104095459,-7.654263019561768
1392,4.785629759735454,7.654263019561768,-1.7764976024627686,-5.080495834350586
1412,,,,-5.552153587341309
1413,3.4166707914994316,9.818621635437012,0.48602294921875,
1432,6.043839828943987,12.471396446228027,2.5474305152893066,-7.405265808105469
1451,,,,-4.570530891418457
1452,8.438330489365411,16.28536033630371,5.123591423034668,
1472,6.110150456300795,13.867216110229492,4.797980308532715,-2.9975404739379883
1492,2.2226184915509846,11.125855445861816,2.1930887699127197,-2.322375535964966
1511,,,,-2.027888774871826
1512,1.5512705302512915,8.9064302444458,-0.5530605912208557,
1531,,,,-1.5849615335464478
1532,4.328772320867454,6.888118267059326,-2.410961151123047,
1551,,,,-1.2617442607879639
1552,5.5285548308817924,5.281609058380127,-2.365471363067627,
1571,,,,-0.6775590777397156
1572,5.563943911249841,4.570530891418457,-0.9481038451194763,
1591,,,-0.24660277366638184,-1.1061211824417114
1592,5.528837205758397,4.273650169372559,,
1611,5.933487670834196,,0.08619125932455063,-1.0773907899856567
1612,,3.780444383621216,,
1631,6.01028387583036,3.5865142345428467,0.8643068075180054,-1.0414776802062988
1650,,,,-0.06464344263076782
1651,5.017009983587339,4.9368438720703125,2.4827871322631836,
1670,,,,0.6320692300796509
1671,4.355339780531691,7.1490864753723145,4.194641590118408,
1691,3.9890273514367203,8.465897560119629,5.0900726318359375,-0.1412578970193863
1710,,,5.540182590484619,-0.5315127968788147
1711,4.23540549038327,10.797849655151367,,
1730,,,,-3.5194764137268066
1731,4.751909173463512,12.679692268371582,4.843470096588135,
1751,3.821524024250001,12.480973243713379,3.670311212539673,-3.136404275894165
1770,,,2.7533318996429443,0.6416460275650024
1771,3.8245514051882914,12.607866287231445,,
1790,7.554932141608331,,1.7286136150360107,5.049371242523193
1791,,13.713987350463867,,
1810,4.862738423520839,12.042834281921387,-0.12689268589019775,2.497152328491211
1829,,,,-9.555258750915527
1830,8.93569479898051,12.619836807250977,2.5330653190612793,
1849,,,,-11.975796699523926
1850,14.66182825447331,17.958906173706055,7.357381820678711,
1869,,,4.711789131164551,-1.5514427423477173
1870,7.394457478666612,16.395492553710938,,
1889,,,,-0.09816227108240128
1890,3.485750893215231,7.424419403076172,5.008669853210449,
1909,7.264003515301496,2.233790159225464,3.8522706031799316,-2.1116859912872314
1929,6.295230016407078,,-1.1420341730117798,-4.010287761688232
1930,,5.564124584197998,,
1949,,,-5.899312973022461,-2.999934673309326
1950,8.681527918630056,10.0580415725708,,
1969,3.2879387392337622,8.494627952575684,-0.7637503147125244,-2.054224967956543
1989,,,5.185841083526611,-1.6950948238372803
1990,3.579056531094612,7.694964408874512,,
2009,6.824321883611776,6.100425720214844,8.020575523376465,-1.8698714971542358
2028,,,,-1.3766659498214722
2029,7.640129463337171,3.663128614425659,7.177816867828369,
2048,,,,-1.3527239561080933
